load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.01,1.09m,1.60m,1.97m,0004200
50,48.97,1.94m,3.69m,8.80m,0002225
100,99.65,1.25m,1.89m,2.83m,
150,149.49,1.33m,2.36m,4.23m,
200,200.17,1.14m,1.67m,2.13m,
250,246.88,1.40m,2.27m,3.51m,
300,300.16,1.19m,1.72m,2.28m,
350,345.75,1.48m,2.42m,3.31m,
400,399.13,1.23m,1.92m,2.84m,
450,452.92,1.15m,1.70m,2.19m,
500,500.16,1.16m,1.67m,2.15m,
1000,994.75,1.33m,2.12m,3.07m,
2000,1993.84,1.18m,1.87m,2.62m,
4000,3996.64,1.01m,1.66m,2.14m,
6000,5994.24,1.04m,1.61m,2.09m,
8000,7991.47,1.06m,1.75m,2.17m,
10000,9988.37,1.07m,1.81m,2.22m,
12000,11986.47,1.05m,1.65m,2.13m,
14000,13945.33,1.11m,1.85m,2.88m,
16000,15854.91,1.31m,2.37m,4.47m,
18000,17980.26,1.07m,1.72m,2.42m,
20000,19976.51,1.25m,2.02m,3.35m,
22000,21915.96,1.23m,2.20m,6.15m,
24000,23907.68,1.30m,2.58m,9.10m,
26000,25967.82,1.30m,2.93m,10.81m,
28000,27817.03,1.50m,4.11m,10.69m,
30000,29883.92,1.53m,5.11m,11.59m,
35000,34867.04,2.08m,8.98m,19.45m,
40000,39843.32,4.51m,18.82m,40.64m,
45000,44583.75,8.98m,35.20m,73.92m,
50000,49745.47,37.34m,135.81m,264.70m,
