load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.01,1.42m,2.23m,3.37m,0004175
50,52.02,1.28m,1.88m,2.41m,0002400
100,100.17,1.29m,1.93m,2.47m,
150,150.17,1.28m,1.88m,2.45m,
200,200.17,1.26m,1.84m,2.41m,
250,249.07,1.31m,1.96m,2.70m,
300,300.16,1.26m,1.88m,2.44m,
350,349.05,1.37m,2.09m,3.05m,
400,399.06,1.33m,2.01m,2.88m,
450,446.93,1.60m,2.45m,3.93m,
500,496.83,1.40m,2.18m,3.18m,
1000,1000.15,1.29m,1.90m,2.45m,
2000,1993.92,1.28m,2.00m,2.73m,
4000,3996.71,1.15m,1.79m,2.32m,
6000,5994.32,1.14m,1.77m,2.31m,
8000,7991.44,1.03m,1.78m,2.43m,
10000,9988.81,1.06m,1.81m,2.61m,
12000,11986.49,1.17m,1.88m,2.66m,
14000,13983.94,1.17m,1.94m,2.86m,
16000,15981.00,1.19m,1.98m,3.26m,
18000,17929.12,1.32m,2.32m,5.74m,
20000,19921.80,1.49m,2.75m,7.82m,
22000,21915.04,1.52m,3.50m,10.18m,
24000,23970.67,1.60m,5.55m,12.43m,
26000,25966.38,1.83m,7.33m,13.29m,
28000,27892.47,2.31m,9.38m,15.05m,
30000,29961.37,3.12m,10.84m,17.17m,
35000,34858.55,9.97m,25.66m,48.64m,
40000,39230.82,239.49m,596.48m,1.01,
45000,39434.16,3.39,5.12,5.97,
50000,39652.64,5.69,8.54,9.47,
