load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,2.26m,3.21m,4.08m,0004200
50,52.03,2.30m,3.28m,4.18m,0002400
100,100.17,2.28m,3.19m,4.17m,
150,149.71,2.33m,3.63m,6.68m,
200,199.68,2.34m,3.67m,7.01m,
250,245.97,2.91m,11.90m,17.23m,
300,297.98,2.46m,6.67m,10.82m,
350,347.99,2.49m,6.96m,10.35m,
400,400.16,2.28m,3.21m,4.14m,
450,451.38,2.36m,3.67m,6.67m,
500,498.52,2.35m,3.63m,6.38m,
1000,994.48,2.48m,6.64m,10.53m,
2000,1988.37,2.47m,7.14m,11.24m,
4000,3975.12,2.52m,8.26m,13.96m,
6000,5978.28,2.48m,5.57m,10.27m,
8000,7948.71,3.48m,11.42m,18.29m,
10000,9962.55,7.57m,18.19m,24.93m,
12000,11918.12,15.79m,29.89m,49.22m,
14000,13866.66,93.89m,292.10m,571.39m,
16000,13934.41,3.14,4.90,5.77,
18000,13944.51,5.64,8.60,9.69,
20000,14088.00,7.89,12.06,13.26,
22000,14191.83,9.55,14.44,15.86,
24000,14350.29,11.01,16.56,18.04,
26000,14189.35,12.57,18.83,20.37,
28000,14146.95,13.57,20.58,22.12,
30000,14134.57,14.50,21.89,23.63,
35000,14525.17,15.80,24.05,26.00,
40000,14431.98,17.09,26.13,28.21,
45000,14468.69,18.69,28.13,30.24,
50000,14357.67,19.64,29.47,31.80,
